NM_000015	NAT2
NM_001193630	ZNF705B
NM_001039703	NBPF10
NM_001302371	NBPF10
NM_001185149	CLDN24
NM_033061	KRTAP4-7
NM_001317989	LOC100132813
NM_080750	DPH3P1
NM_001164442	FAM159B
NM_001162936	SMIM9
NM_001145139	CXorf49B
NM_001244892	CXorf51B
NM_001137549	FAM25G
NM_001310153	GOLGA6L3
NM_001282478	PRR23D2
NM_001195257	DEFB130B
NM_001291739	CD24
NM_001291737,NM_001291738,NM_013230	CD24
NM_001278587	LOC100134391
NM_001194958	KCNJ18
NM_001114403	UPK3BL1
NM_001114632	JMJD7
NM_001114633	PLA2G4B
NM_005474	HDAC5
NM_001015053	HDAC5
NM_001163075	C17orf99
NM_001278507	CTAGE8
NM_001256368	LOC100144595
NM_001256192	PDCD6IP
NM_001162429	PDCD6IP
NM_013374	PDCD6IP
NM_001350977	KRTAP20-4
NM_013232	PDCD6
NM_001267557	PDCD6
NM_001267559	PDCD6
NM_001267558	PDCD6
NM_001267556	PDCD6
NM_001129883	PATE3
NM_020396	BCL2L10
NM_001306168	BCL2L10
NM_001145641	SRRM5
NM_001130677	EPOP
NM_207003	BCL2L11
NM_001204111	BCL2L11
NM_001204112	BCL2L11
NM_001204106	BCL2L11
NM_207002	BCL2L11
NM_138625	BCL2L11
NM_138621	BCL2L11
NM_001204108	BCL2L11
NM_001204113	BCL2L11
NM_001204110	BCL2L11
NM_001204109	BCL2L11
NM_138624	BCL2L11
NM_138622	BCL2L11
NM_138627	BCL2L11
NM_138623	BCL2L11
NM_001204107	BCL2L11
NM_006538	BCL2L11
NM_138626	BCL2L11
NM_001134493	TOMM6
NM_005475	SH2B3
NM_001291424	SH2B3
NM_001145132	C5orf52
NM_001136003	C2CD4D
NM_001252338,NM_001252339,NM_001794	CDH4
NM_001190384	GNE
NM_005476	GNE
NM_001190383	GNE
NM_001190388	GNE
NM_001128227	GNE
NM_005478	INSL5
NM_005479	FRAT1
NM_001100620	TROAP
NM_001278324	TROAP
NM_005480	TROAP
NM_005481	MED16
NM_001145451	ARHGEF33
NM_001191055	ERVV-2
NM_001145785	MEF2B
NM_001277335	RASA4B
NM_001018024	CMC4
NM_001242885	LOC100287036
NM_001256852	USP17L10
NM_182905	WASHC1
NM_001256854	USP17L11
NM_001256853	USP17L12
NM_001256855	USP17L13
NM_001146221	MANSC4
NM_001256857	USP17L17
NM_001256859	USP17L18
NM_001277303	POTEB2
NM_001256860	USP17L19
NM_001256861	USP17L20
NM_001256862	USP17L21
NM_001256863	USP17L22
NM_001162435	ANKRD66
NM_001242672	TTC34
NM_006327	TIMM23
NM_001278267	NBPF20
NM_001164434	KRTAP22-2
NM_001164435	KRTAP21-3
NM_001277325	NPIPA5
NM_001351200	NPIPA5
NM_001242690,NM_024534	ERVMER34-1
NM_001190489	MTRNR2L7
NM_001256894	USP17L15
NM_001293798,NM_001306068	DUX4
NM_001205288	LIMS4
NM_001318207	TMEM239
NM_001167670	TMEM239
NM_001124759	FRG2C
NM_001195081	CLDN34
NM_001257362	LOC100288966
NM_001195541,NM_001195542,NM_001195543	TMEM225B
NM_001205266	DEFB4B
NM_001242713,NM_001347879,NM_001347880	LOC100289561
NM_001164715	ZNF605
NM_183238	ZNF605
NM_001195220	ZNF783
NM_001204818	ZNF587B
NM_001242823	C4B_2
NM_001795	CDH5
NM_001164165	GPR75-ASB3
NM_001164469	TMED7-TICAM2
NM_001164468	TMED7-TICAM2
NM_001164811	PET117
NM_001166339	SPDYE2B
NM_001271700	ANKRD61
NM_001168682	SAP25
NM_001348680	SAP25
NM_001348677	SAP25
NM_001195576,NM_001195577,NM_001195578	TRPC5OS
NM_005483	CHAF1A
NM_005484	PARP2
NM_001042618	PARP2
NM_001174108	ZBED6
NM_001003931	PARP3
NM_005485	PARP3
NM_004932	CDH6
NM_001321174,NM_001321175,NM_001321176	TOM1L1
NM_005486	TOM1L1
NM_001321173	TOM1L1
NM_001003681	HMGXB4
NM_001135729	TOM1
NM_005488	TOM1
NM_001135730	TOM1
NM_001135732	TOM1
NM_001190765	KLRF2
NM_001142531,NM_001142532	SH2D3C
NM_005489	SH2D3C
NM_001142534	SH2D3C
NM_001252334	SH2D3C
NM_170600	SH2D3C
NM_001142533	SH2D3C
NM_005490	SH2D3A
NM_001177465	MAMLD1
NM_001177466	MAMLD1
NM_005491	MAMLD1
NM_001190452	MTRNR2L1
NM_001190470	MTRNR2L2
NM_001190472	MTRNR2L3
NM_001190476	MTRNR2L4
NM_001190478	MTRNR2L5
NM_001190487	MTRNR2L6
NM_001190702	MTRNR2L8
NM_001190706	MTRNR2L9
NM_001190708	MTRNR2L10
NM_001281730,NM_005492	CST8
NM_005493	RANBP9
NM_001348010	CCDC180
NM_020893	CCDC180
NM_001317214	CDH7
NM_004361,NM_033646	CDH7
NM_001195637	CCDC179
NM_001197114	IQCJ-SCHIP1
NM_001197113	IQCJ-SCHIP1
NM_001242804	LOC100505549
NM_001301268	INAFM2
NM_001195545	LRRC3C
NM_001243531	UBE2Q2L
NM_001277332	KRTAP9-7
NM_001310156	SPATA1
NM_001146182	KRTAP16-1
NM_001351348	SPDYE18
NM_001195535	LOC100505841
NM_001322373,NM_001322374,NM_001322375,NM_001322376	CEBPZOS
NM_001205281	PPP5D1
NM_001297550	APELA
NM_001195280	LRRC72
NM_001103154	ARL17B
NM_001330240	ARL17B
NM_001039083	ARL17B
NM_001278655	SMIM25
NM_001347884	LOC100506127
NM_001347885	LOC100506127
NM_001305225	LOC100506127
NM_001282456	LOC100506127
NM_001195156	TMEM35B
NM_001205272	KRBOX1
NM_001004352	LOC100506422
NM_001256475	THEGL
NM_001195124	C16orf95
NM_001256917	C16orf95
NM_001195125	C16orf95
NM_001243552	C17orf112
NM_001205255	OCLN
NM_001205254,NM_002538	OCLN
NM_001195520	LRCOL1
NM_001195597	SMLR1
NM_001195605	ZNF865
NM_001206847	SMIM18
NM_001195278	TMEM178B
NM_001289152,NM_001289153	MICA
NM_001177519	MICA
NM_001289154	MICA
NM_000247	MICA
NM_001242740	GVQW2
NM_001322263	LOC100507507
NM_001205273	THEG5
NM_001278575,NM_001278576,NM_001278577,NM_001278578	THEG5
NM_001195259	TGFBR3L
NM_001287250	NPIPB9
NM_001287251	NPIPB9
NM_001277331	KRTAP9-6
NM_001282322	RNF212B
NM_001198815	MUC22
NM_001318484,NM_001322469	MUC22
NM_001002800,NM_005496	SMC4
NM_001288753	SMC4
NM_001198759	LY75-CD302
NM_001198760	LY75-CD302
NM_001198793	ARPC4-TTLL3
NM_001243768	CENPS-CORT
NM_001270517	CENPS-CORT
NM_198544	CENPS-CORT
NM_199006	CENPS-CORT
NM_001198879	ATP5J2-PTCD1
NM_001316331	ABHD14A-ACY1
NM_001198910	CCDC169-SOHLH2
NM_001198974	TMEM110-MUSTN1
NM_001198986	EPPIN-WFDC6
NM_001199058	C15orf38-AP3S2
NM_001199103	NT5C1B-RDH14
NM_001199104	NT5C1B-RDH14
NM_001199290	PHOSPHO2-KLHL23
NM_001112808	FPGT-TNNI3K
NM_001199327	FPGT-TNNI3K
NM_001199356	RPL17-C18orf32
NM_001199355	RPL17-C18orf32
NM_001199577	GIMAP1-GIMAP5
NM_001303630	GIMAP1-GIMAP5
NM_001199691	TMEM56-RWDD3
NM_001199744	SAA2-SAA4
NM_001258400	FAM187A
NM_001199760	ST20-MTHFS
NM_001199782	POC1B-GALNT4
NM_001199781	POC1B-GALNT4
NM_001199805	KLRC4-KLRK1
NM_001350268,NM_001350269,NM_001350270	ARMCX5-GPRASP2
NM_001199818	ARMCX5-GPRASP2
NM_001199823	NEDD8-MDP1
NM_001199864	BCL2L2-PABPN1
NM_001201479	CORO7-PAM16
NM_001202425	ZNF559-ZNF177
NM_001172650	ZNF559-ZNF177
NM_001202470	RPS10-NUDT3
NM_001202473	ZNF816-ZNF321P
NM_001202485	HSPE1-MOB4
NM_001204099	CKLF-CMTM1
NM_001202509	CKLF-CMTM1
NM_001204098	CKLF-CMTM1
NM_001202547	SYNJ2BP-COX16
NM_001202548	SYNJ2BP-COX16
NM_001202549	SYNJ2BP-COX16
NM_001202559	CHURC1-FNTB
NM_001202558	CHURC1-FNTB
NM_005498	AP1M2
NM_001300887	AP1M2
NM_001203262	NDUFC2-KCTD14
NM_001203260	NDUFC2-KCTD14
NM_001203261	NDUFC2-KCTD14
NM_001204062	COMMD3-BMI1
NM_001204173	C8orf44-SGK3
NM_001204180	ZHX1-C8orf76
NM_001282471	PRORY
NM_001243598	FXYD6-FXYD2
NM_001204268	FXYD6-FXYD2
NM_001204425	BIVM-ERCC5
NM_001204478	TVP23C-CDRT4
NM_001204513	RBAK-RBAKDN
NM_001204811	MAGEA10-MAGEA5
NM_001204848	TNFAIP8L2-SCNM1
NM_001204871	URGCP-MRPS24
NM_001204890	ISY1-RAB43
NM_005687	FARSB
NM_001023587	ABCC5
NM_001320032	ABCC5
NM_005688	ABCC5
NM_001349828	ABCB6
NM_005689	ABCB6
NM_001796	CDH8
NM_005691	ABCC9
NM_020297	ABCC9
NM_005692	ABCF2
NM_007189	ABCF2
NM_001251934,NM_001251935	NR1H3
NM_001130101	NR1H3
NM_001130102	NR1H3
NM_005693	NR1H3
NM_005694	COX17
NM_001242939	FAM47E-STBD1
NM_001290118	TIMM23B
NM_001290117	TIMM23B
NM_001320778	SCAMP2
NM_005697	SCAMP2
NM_005698	SCAMP3
NM_052837	SCAMP3
NM_005699	IL18BP
NM_173044	IL18BP
NM_001145055	IL18BP
NM_001039659,NM_001039660,NM_001145057,NM_173042	IL18BP
NM_001320724	RWDD2B
NM_016940	RWDD2B
NM_016279	CDH9
NM_001164462	MUC12
NM_005700,NM_130443	DPP3
NM_001256670	DPP3
NM_001042581,NM_001042588,NM_005701	SNUPN
NM_031407	HUWE1
NM_005704	PTPRU
NM_133178	PTPRU
NM_133177	PTPRU
NM_001195001	PTPRU
NM_139022	TSPAN32
NM_001317222	CDH10
NM_006727	CDH10
NM_001317224	CDH10
NM_005707	PDCD7
NM_005708	GPC6
NM_001018100	MYZAP
NM_152451	MYZAP
NM_001167992	PQBP1
NM_001167989	PQBP1
NM_001032381,NM_001032382,NM_001032383,NM_001032384,NM_005710	PQBP1
NM_144495	PQBP1
NM_001167990	PQBP1
NM_001145095	HHLA1
NM_001256141	FSBP
NM_001350598	FTCD-AS1
NM_001256829	TMEM265
NM_031361	COL4A3BP
NM_005713	COL4A3BP
NM_001130105	COL4A3BP
NM_001289773	MED14OS
NM_001142654	PTGES3L
NM_001142653	PTGES3L
NM_001261430	PTGES3L
NM_025267	PTGES3L-AARSD1
NM_001136042	PTGES3L-AARSD1
NM_033347	KCNK7
NM_033348,NM_033455	KCNK7
NM_005714	KCNK7
NM_001308392	CDH11
NM_001797	CDH11
NM_001330576	CDH11
NM_005715	UST
NM_001193289	APOBEC3A_B
NM_005717	ARPC5
NM_001270439	ARPC5
NM_005718	ARPC4
NM_001024959,NM_001024960	ARPC4
NM_001198780	ARPC4
NM_001287222	ARPC3
NM_001278556	ARPC3
NM_005720	ARPC1B
NM_005723	TSPAN5
NM_198902	TSPAN3
NM_001168412	TSPAN3
NM_005724	TSPAN3
NM_001348161	FAM106B
NM_001277304	POTEB
NM_001277348	C5orf66
NM_001286811	LOC100996693
NM_001348152	LOC100996741
NM_001351349	SPDYE11
NM_001278795	NPY4R2
NM_001322800	LOC100996842
NM_032906	PYURF
NM_001109	ADAM8
NM_001164490	ADAM8
NM_001164489	ADAM8
NM_001317228	CDH12
NM_001317227,NM_004061	CDH12
NM_001308316	TSPAN2
NM_001308315	TSPAN2
NM_005725	TSPAN2
NM_001172696	TSFM
NM_005726	TSFM
NM_001172697	TSFM
NM_001172695	TSFM
NM_005727	TSPAN1
NM_005729	PPIF
NM_001323075	LOC101059915
NM_001277291	ZNF891
NM_001351365	NBPF19
NM_001330067	OPN1MW3
NM_001302551	HNRNPCL4
NM_001291462	TBC1D3G
NM_001291464	TBC1D3K
NM_001291459	TBC1D3L
NM_001291465	TBC1D3D
NM_001351372	NBPF26
NM_052828	TRIM10
NM_006778	TRIM10
NM_005731,NM_152862	ARPC2
NM_001199264,NM_170693	SGK2
NM_016276	SGK2
NM_005732	RAD50
NM_005733	KIF20A
NM_001048200,NM_001278162,NM_001278163	HIPK3
NM_005734	HIPK3
NM_015322	FEM1B
NM_031889	ENAM
NM_001257	CDH13
NM_001220489	CDH13
NM_001220491	CDH13
NM_001220490	CDH13
NM_001220488	CDH13
NM_001220492	CDH13
NM_005737	ARL4C
NM_001282431	ARL4C
NM_001037164,NM_001195396,NM_005738,NM_212460	ARL4A
NM_001306086	RASGRP1
NM_005739	RASGRP1
NM_001128602	RASGRP1
NM_005740	DNAL4
NM_005741	ZNF263
NM_133259	LRPPRC
NM_023037	FRY
NM_004933	CDH15
NM_001008211,NM_001008212,NM_001008213,NM_021980	OPTN
NM_001139441,NM_001256447,NM_005745	BCAP31
NM_001139457	BCAP31
NM_005746	NAMPT
NM_001198838,NM_001198840,NM_006047,NM_152838	RBM12
NM_001134758,NM_001267549	ARFRP1
NM_001267547,NM_001267548,NM_003224	ARFRP1
NM_001267544	ARFRP1
NM_001267546	ARFRP1
NM_001267545	ARFRP1
NM_001204746	CDH16
NM_001204745	CDH16
NM_001204744	CDH16
NM_004062	CDH16
NM_147185	AKAP9
NM_005751	AKAP9
NM_005752	CLEC3A
NM_001244755	CLEC3A
NM_001265579	FAM13A
NM_001265580	FAM13A
NM_001265578	FAM13A
NM_001015045	FAM13A
NM_014883	FAM13A
NM_001017392,NM_001321697,NM_014884	SUGP2
NM_001321698,NM_001321699	SUGP2
NM_005755	EBI3
NM_001079859	ADGRG2
NM_001184836	ADGRG2
NM_001079858	ADGRG2
NM_001184833	ADGRG2
NM_005756	ADGRG2
NM_001184837	ADGRG2
NM_001079860	ADGRG2
NM_001184835	ADGRG2
NM_001184834	ADGRG2
NM_001144663,NM_004063	CDH17
NM_005760	CEBPZ
NM_005761	PLXNC1
NM_005762	TRIM28
NM_001079877	RASA4
NM_006989	RASA4
NM_005763	AASS
NM_005764	PDZK1IP1
NM_005765	ATP6AP2
NM_001167667,NM_001349561	CDH18
NM_001349562,NM_001349563	CDH18
NM_001291956,NM_001349556,NM_001349558,NM_001349559,NM_004934	CDH18
NM_001291957,NM_001349560	CDH18
NM_001162497,NM_001162498,NM_005767	LPAR6
NM_006990	WASF2
NM_001201404	WASF2
NM_001160210	SLC25A13
NM_014251	SLC25A13
NM_014252	SLC25A15
NM_001323296	ZNF197
NM_001323295	ZNF197
NM_001024855,NM_001323294	ZNF197
NM_001323293,NM_006991	ZNF197
NM_001018108,NM_001199877	SERF2
NM_001199878	SERF2
NM_001199876	SERF2
NM_001199875	SERF2
NM_052827	CDK2
NM_001798	CDK2
NM_001290230	CDK2
NM_001142270,NM_001142271,NM_199204	DHRS9
NM_001289763	DHRS9
NM_001286701	RCL1
NM_001286699,NM_001286700	RCL1
NM_005772	RCL1
NM_005773	ZNF256
NM_005776	CNIH1
NM_001163279	TENM1
NM_001163278	TENM1
NM_014253	TENM1
NM_001286046,NM_001286047,NM_001286048	RBM7
NM_001286045	RBM7
NM_016090	RBM7
NM_001258	CDK3
NM_001349194	RBM6
NM_005777	RBM6
NM_001167582,NM_001349190,NM_001349191,NM_001349192,NM_001349193	RBM6
NM_005778	RBM5
NM_005779	LHFPL2
NM_001308046	TNK2
NM_001010938	TNK2
NM_005781	TNK2
NM_005782	ALYREF
NM_000075	CDK4
NM_001293167	PANO1
NM_001323425	LOC101927503
NM_001290056	LOC101927572
NM_001347907	LOC101927572
NM_001282544	CCDC182
NM_001289933	ZASP
NM_001290053	LOC101927844
NM_001321726	LOC101928120
NM_001282537	C21orf140
NM_001286997	LOC101928436
NM_001347929,NM_001347930	LOC101928436
NM_001287053	C5orf67
NM_001308421,NM_001308422,NM_001308423	PIGBOS1
NM_001282136,NM_001322247	MEI4
NM_001282492	C6orf229
NM_001351145	PRR31
NM_001304433	LOC101928841
NM_001288707	LOC101929372
NM_001315494,NM_001347931	MYMX
NM_001322244	TEX51
NM_001300891	PRAMEF27
NM_001242826,NM_005785,NM_194359	RNF41
NM_194358	RNF41
NM_001308210	TSHZ1
NM_005786	TSHZ1
NM_005787	ALG3
NM_001006941	ALG3
NM_001267045	PSME3
NM_001330229	PSME3
NM_005789	PSME3
NM_176863	PSME3
NM_022782	MPHOSPH9
NM_005791	MPHOSPH10
NM_001164410	CDK5
NM_004935	CDK5
NM_005792	MPHOSPH6
NM_001308434	NME6
NM_001308426,NM_001308427,NM_001308428	NME6
NM_001308431,NM_001308433	NME6
NM_001308430	NME6
NM_001308435	NME6
NM_005793	NME6
NM_001271751,NM_005795	CALCRL
NM_001322038,NM_001322039,NM_001322040,NM_001322041,NM_005796	NUTF2
NM_005797,NM_144765	MPZL2
NM_005798,NM_052811,NM_213590	TRIM13
NM_001007278	TRIM13
NM_001350145	PATJ
NM_176877	PATJ
NM_005800	USPL1
NM_001321532	USPL1
NM_001321533,NM_001321534	USPL1
NM_005801	EIF1
NM_001145306,NM_001259	CDK6
NM_005802	TOPORS
NM_001195622	TOPORS
NM_001318875	FLOT1
NM_005803	FLOT1
NM_005805	PSMD14
NM_021014	SSX3
NM_001015891	AK6
NM_016283	AK6
NM_005807	PRG4
NM_001127709	PRG4
NM_001127708	PRG4
NM_001127710	PRG4
NM_001303232	PRG4
NM_021146	ANGPTL7
NM_001329101,NM_001329102,NM_001329103	KLRG1
NM_001329099	KLRG1
NM_005810	KLRG1
NM_001799	CDK7
NM_001324071	CDK7
NM_001324070	CDK7
NM_001324072,NM_001324074,NM_001324075,NM_001324077,NM_001324078	CDK7
NM_001324069	CDK7
NM_005811	GDF11
NM_025195	TRIB1
NM_001282985	TRIB1
NM_005814	GPA33
NM_005815	ZNF443
NM_198196	CD96
NM_001318889	CD96
NM_005816	CD96
NM_001164194	PLIN3
NM_005817	PLIN3
NM_001164189	PLIN3
NM_001286086	C11orf98
NM_001251973,NM_001251974	RCAN2
NM_005822	RCAN2
NM_001177355,NM_005823	MSLN
NM_013404	MSLN
NM_001135217,NM_201650	LRRC23
NM_006992	LRRC23
NM_001031692	LRRC17
NM_005824	LRRC17
NM_001098670,NM_001098671,NM_153819	RASGRP2
NM_001318398	RASGRP2
NM_001297622	HNRNPR
NM_001102397	HNRNPR
NM_001297620	HNRNPR
NM_001297621	HNRNPR
NM_005826	HNRNPR
NM_001102398	HNRNPR
NM_001102399	HNRNPR
NM_005828	DCAF7
NM_001346501	CDK8
NM_001260	CDK8
NM_001318368	CDK8
NM_005830	MRPS31
NM_001261390	CALCOCO2
NM_005831	CALCOCO2
NM_001261395	CALCOCO2
NM_001261393	CALCOCO2
NM_001261391	CALCOCO2
NM_001278911,NM_005832,NM_181361	KCNMB2
NM_020806	GPHN
NM_001024218	GPHN
NM_005836	RIDA
NM_005837	POP7
NM_005838	GLYAT
NM_201648	GLYAT
NM_001261	CDK9
NM_001304990,NM_005840	SPRY3
NM_001258038,NM_001258039,NM_005841,NM_199327	SPRY1
NM_001318536,NM_001318537,NM_001318538,NM_005842	SPRY2
NM_005843	STAM2
NM_006314	CNKSR1
NM_001297647	CNKSR1
NM_001297648	CNKSR1
NM_001301830	ABCC4
NM_001105515	ABCC4
NM_001301829	ABCC4
NM_005845	ABCC4
NM_000389,NM_001220777,NM_001220778,NM_078467	CDKN1A
NM_001291549	CDKN1A
NM_005848	DENND4A
NM_001144823	DENND4A
NM_001320835	DENND4A
NM_005849	IGSF6
NM_001271849	CDK2AP2
NM_005851	CDK2AP2
NM_005853	IRX5
NM_001252197	IRX5
NM_005854	RAMP2
NM_005855	RAMP1
NM_001308353	RAMP1
NM_005860	FSTL3
NM_001330065	KCNE1B
NM_001313692	SMIM11B
NM_001291527,NM_001291528,NM_001291529,NM_001291530	CT45A10
NM_001291540,NM_001321271	CT45A9
NM_001291535	CT45A8
NM_001351351	SPDYE17
NM_001291466	TBC1D3E
NM_001330061	TP53TG3E
NM_001330066	TP53TG3F
NM_001322044	LOC102724219
NM_001319657	LOC102724265
NM_001302493	LINC01835
NM_001320643	LOC102724428
NM_001098413	GAGE10
NM_207355	POTEB3
NM_001314050	LOC102724652
NM_001320719	LOC102724652
NM_001322047	LOC102724843
NM_001291463	TBC1D3I
NM_001293197	STUB1
NM_005861	STUB1
NM_005862	STAG1
NM_001047160	NET1
NM_005863	NET1
NM_001105562	UBE4B
NM_006048	UBE4B
NM_032459	EFS
NM_001277174	EFS
NM_005864	EFS
NM_005865	PRSS16
NM_001289912	LOC400927-CSNK1E
NM_001317739	BET1
NM_005868	BET1
NM_001297644	CWC27
NM_005869	CWC27
NM_001297645	CWC27
NM_001318000	CWC27
NM_005871	SMNDC1
NM_005872	BCAS2
NM_001039467,NM_005873	RGS19
NM_001080978,NM_001278403	LILRB2
NM_001278404	LILRB2
NM_005874	LILRB2
NM_001278405	LILRB2
NM_001278406	LILRB2
NM_005875	EIF1B
NM_058197	CDKN2A
NM_000077	CDKN2A
NM_058195	CDKN2A
NM_001195132	CDKN2A
NM_005876	SPEG
NM_001173476	SPEG
NM_005877	SF3A1
NM_005879	TRAIP
NM_001351273	APC2
NM_005883	APC2
NM_001014831,NM_001014832,NM_005884	PAK4
NM_001014834,NM_001014835	PAK4
NM_005885	MARCH6
NM_001270660	MARCH6
NM_001270661	MARCH6
NM_001111	ADAR
NM_001025107,NM_001193495	ADAR
NM_015841	ADAR
NM_015840	ADAR
NM_078487	CDKN2B
NM_004936	CDKN2B
NM_005886	KATNB1
NM_001329615,NM_006049	SNAPC5
NM_001329614	SNAPC5
NM_001329613	SNAPC5
NM_006051	APBB3
NM_133174	APBB3
NM_133172	APBB3
NM_133173	APBB3
NM_001265588	ZNF267
NM_003414	ZNF267
NM_001262,NM_078626	CDKN2C
NM_001265591	RTN3
NM_006054	RTN3
NM_201429	RTN3
NM_201428	RTN3
NM_001265590	RTN3
NM_201430	RTN3
NM_001265589	RTN3
NM_001136574,NM_001136575,NM_006055	LANCL1
NM_006056	NMUR1
NM_033172	B3GALT5
NM_001278650,NM_006057,NM_033170,NM_033171	B3GALT5
NM_001252385	TNIP1
NM_001258456	TNIP1
NM_001252390,NM_001252391,NM_001258454,NM_006058	TNIP1
NM_001252392,NM_001252393	TNIP1
NM_001252386	TNIP1
NM_001258455	TNIP1
NM_006059	LAMC3
NM_001800,NM_079421	CDKN2D
NM_001220765,NM_001291837	IKZF1
NM_006060	IKZF1
NM_001291840	IKZF1
NM_001291846,NM_001291847	IKZF1
NM_001291844	IKZF1
NM_001291839	IKZF1
NM_001220770	IKZF1
NM_001291843	IKZF1
NM_001291845	IKZF1
NM_001220771	IKZF1
NM_001220768	IKZF1
NM_001291838	IKZF1
NM_001220767	IKZF1
NM_001291842	IKZF1
NM_001291841	IKZF1
NM_006061	CRISP3
NM_001190986	CRISP3
NM_006062	SMYD5
NM_006063	KLHL41
NM_001135844,NM_001329157	SIRPB1
NM_006065	SIRPB1
NM_001330639	SIRPB1
NM_001083910	SIRPB1
NM_001202413,NM_001202414,NM_006066,NM_153326	AKR1A1
NM_006067	EMC8
NM_001142288	EMC8
NM_014254	TMEM5
NM_001278237	TMEM5
NM_005192	CDKN3
NM_001330173	CDKN3
NM_001130851	CDKN3
NM_001144905	CLEC4M
NM_001144907	CLEC4M
NM_001144910	CLEC4M
NM_014257	CLEC4M
NM_001144908	CLEC4M
NM_001144911	CLEC4M
NM_001144906	CLEC4M
NM_001144909	CLEC4M
NM_001144904	CLEC4M
NM_006068	TLR6
NM_001293171	HOTS
NM_001100163	MRVI1
NM_001098579	MRVI1
NM_001206880	MRVI1
NM_130385	MRVI1
NM_001100167,NM_001206881	MRVI1
NM_006071	PKDREJ
NM_006072	CCL26
NM_001256021	TRDN
NM_006073	TRDN
NM_001256020	TRDN
NM_001251987	TRDN
NM_001256022	TRDN
NM_006074	TRIM22
NM_001199573	TRIM22
NM_019112	ABCA7
NM_080282	ABCA10
NM_080283	ABCA9
NM_007168	ABCA8
NM_001288985	ABCA8
NM_001288986	ABCA8
NM_201263	WARS2
NM_015836	WARS2
NM_001323566	CDO1
NM_001801	CDO1
NM_001323565	CDO1
